dataset_id,tile_r,tile_c,tile_h,tile_w,channels
2023-09-28_11h13m13s,0,1280,256,256,41
2023-09-28_11h13m13s,0,1536,256,256,61
2023-09-28_11h13m13s,0,1792,256,256,13
2023-09-28_11h13m13s,0,2048,256,256,47
2023-09-28_11h13m13s,0,2304,256,256,64
2023-09-28_11h13m13s,256,0,256,256,15
2023-09-28_11h13m13s,256,256,256,256,17
2023-09-28_11h13m13s,256,768,256,256,10
2023-09-28_11h13m13s,256,1024,256,256,16
2023-09-28_11h13m13s,256,1536,256,256,26
2023-09-28_11h13m13s,256,2048,256,256,19
2023-09-28_11h13m13s,256,2304,256,256,15
2023-09-28_11h13m13s,512,0,256,256,32
2023-09-28_11h13m13s,512,256,256,256,64
2023-09-28_11h13m13s,512,768,256,256,64
2023-09-28_11h13m13s,512,1024,256,256,39
2023-09-28_11h13m13s,512,1280,256,256,27
2023-09-28_11h13m13s,512,1536,256,256,64
2023-09-28_11h13m13s,512,2048,256,256,38
2023-09-28_11h13m13s,512,2304,256,256,64
2025-08-22_19h06m03s,0,0,256,256,18
2024-10-26_04h01m43s,0,0,256,256,13
2024-10-26_04h01m43s,0,256,256,256,10
2023-05-25_13h31m40s,0,0,256,256,64
2023-05-25_13h31m40s,0,256,256,256,64
2023-05-25_13h31m40s,256,0,256,256,64
2023-05-25_13h31m40s,256,256,256,256,64
2023-09-28_11h23m51s,0,0,256,256,21
2023-09-28_11h23m51s,0,768,256,256,8
2023-09-28_11h23m51s,0,1280,256,256,8
2023-09-28_11h23m51s,0,1536,256,256,16
2023-09-28_11h23m51s,0,2304,256,256,22
2023-09-28_11h23m51s,256,0,256,256,23
2023-09-28_11h23m51s,256,256,256,256,27
2023-09-28_11h23m51s,256,512,256,256,14
2023-09-28_11h23m51s,256,768,256,256,40
2023-09-28_11h23m51s,256,1024,256,256,29
2023-09-28_11h23m51s,256,1280,256,256,15
2023-09-28_11h23m51s,256,1536,256,256,31
2023-09-28_11h23m51s,256,1792,256,256,11
2023-09-28_11h23m51s,256,2304,256,256,24
2023-09-28_11h23m51s,512,0,256,256,17
2023-09-28_11h23m51s,512,256,256,256,16
2023-09-28_11h23m51s,512,768,256,256,30
2023-09-28_11h23m51s,512,1024,256,256,25
2023-09-28_11h23m51s,512,1536,256,256,20
2023-09-28_11h23m51s,512,2304,256,256,26
2023-09-28_11h23m51s,768,256,256,256,21
2023-09-28_11h23m51s,768,768,256,256,26
2023-09-28_11h23m51s,768,1024,256,256,8
2023-09-28_11h23m51s,768,1536,256,256,21
2022-05-30_19h16m00s,0,0,256,256,57
2022-06-09_17h14m40s,0,512,256,256,9
2022-06-09_17h14m40s,256,512,256,256,8
2022-06-09_17h14m40s,512,0,256,256,8
2022-06-09_17h14m40s,512,1024,256,256,9
2023-01-05_10h55m02s,0,0,256,256,28
2023-01-05_10h55m02s,256,0,256,256,29
2023-01-05_10h55m02s,512,0,256,256,31
2023-06-21_18h27m40s,0,0,256,256,18
